"cluster","n_cells","monocyte_marker_score"
"0",908,3.0408339236896
"10",137,2.45351249536187
"11",90,2.30942218363435
"12",37,0.981474453964723
"8",192,0.733373503518173
"6",212,0.539150441998992
"4",392,0.536135675436333
"7",207,0.521065910111937
"3",403,0.507313398732198
"2",496,0.496466935304109
"5",377,0.475137022720728
"1",644,0.469487884095683
"9",177,0.454865630484978
