"scenario","method","source_cluster","soup_gene_n","target_frac","actual_mean_frac","no_correction_rmse_all_genes","soupx_rmse_all_genes","improvement_all_genes","no_correction_rmse_hvg500","soupx_rmse_hvg500","improvement_hvg500","no_correction_rmse_soup_genes","soupx_rmse_soup_genes","improvement_soup_genes","clean_marker_leakage","no_correction_marker_leakage","soupx_marker_leakage","marker_leakage_reduction","no_correction_ARI_vs_clean","soupx_ARI_vs_clean","ARI_change_after_soupx","top_soup_genes"
"sourceCluster0_genes1_frac0p02","SoupX_manual_rho","0",1,0.02,0.0195816547435638,0.891544443289654,0.539306437085456,0.395087433784565,0,0,NA,115.057601394157,69.5997889219323,0.395087433784565,0.551801083838062,0.551801083838062,0.551801083838062,NA,0.97516386446349,0.968691073407093,-0.00647279105639764,"MALAT1"
"sourceCluster0_genes100_frac0p02","SoupX_manual_rho","0",100,0.02,0.0201888395538956,0.14321245163258,0.108820037200428,0.240149610177669,0.474856572077237,0.329809558032038,0.30545436785406,1.84821758451227,1.40436885206814,0.240149610177669,0.551801083838062,1.67978960790564,0.588247795133355,0.967688757006264,0.967935760517535,0.975413054796554,0.00747729427901933,"MALAT1;TMSB4X;FTL;S100A9;LYZ;B2M;MT-CO1;S100A8;ACTB;RPLP1"
"sourceCluster0_genes1_frac0p05","SoupX_manual_rho","0",1,0.05,0.0494693373545094,2.06848097422105,0.882020467892845,0.573590243814064,0,0,NA,266.946265230663,113.828491871753,0.573590243814064,0.551801083838062,0.551801083838062,0.551801083838062,NA,0.982388361816151,0.966786782385261,-0.0156015794308895,"MALAT1"
"sourceCluster0_genes100_frac0p05","SoupX_manual_rho","0",100,0.05,0.0496243097058402,0.300950298790197,0.164325948287651,0.453976457414291,1.01900778832116,0.497256518251717,0.51201892276902,3.88389157470248,2.12069623663784,0.453976457414291,0.551801083838062,3.39459143555414,0.58532568271172,0.988207150466294,0.958862037893735,0.967921550216353,0.00905951232261792,"MALAT1;TMSB4X;FTL;S100A9;LYZ;B2M;MT-CO1;S100A8;ACTB;RPLP1"
"sourceCluster0_genes1_frac0p10","SoupX_manual_rho","0",1,0.1,0.100082491104477,4.25143007158955,1.25618158111797,0.704527286121327,0,0,NA,548.665128490023,162.115574525538,0.704527286121327,0.551801083838062,0.551801083838062,0.551801083838062,NA,0.916342864753225,0.964727214045042,0.0483843492918175,"MALAT1"
"sourceCluster0_genes100_frac0p10","SoupX_manual_rho","0",100,0.1,0.100605101827822,0.58317433601571,0.236896365219229,0.593781223574203,1.98893356891904,0.702154589400176,0.646969310401962,7.52611278121087,3.05724832522603,0.593781223574203,0.551801083838062,6.71623631920094,0.663638295611518,0.981857671059322,0.911835157479955,0.918599084648986,0.00676392716903018,"MALAT1;TMSB4X;FTL;S100A9;LYZ;B2M;MT-CO1;S100A8;ACTB;RPLP1"
"sourceCluster0_genes1_frac0p20","SoupX_manual_rho","0",1,0.2,0.200935132584462,9.39304338979259,1.79117399940748,0.809308450405548,0,0,NA,1212.21219015512,231.158620977965,0.809308450405548,0.551801083838062,0.551801083838062,0.551801083838062,NA,0.912649527816064,0.908704552934204,-0.00394497488185952,"MALAT1"
"sourceCluster0_genes100_frac0p20","SoupX_manual_rho","0",100,0.2,0.199991541213494,1.24809036289292,0.352731298354833,0.71738320490093,4.29146799656517,1.02916846729891,0.760182653552899,16.107136840846,4.55214739218205,0.71738320490093,0.551801083838062,14.19806609287,0.508235044097333,1.00319252481993,0.90219185700805,0.900608421646974,-0.00158343536107608,"MALAT1;TMSB4X;FTL;S100A9;LYZ;B2M;MT-CO1;S100A8;ACTB;RPLP1"
