"scenario","source_cluster","soup_gene_n","target_frac","actual_mean_frac","actual_sd_frac","true_mean_fraction","decontx_mean_estimate","decontx_median_estimate","spearman_true_vs_decontx","pearson_true_vs_decontx","contamination_rmse","no_correction_rmse_all_genes","decontx_rmse_all_genes","improvement_all_genes","no_correction_mae_all_genes","decontx_mae_all_genes","improvement_mae_all_genes","no_correction_rmse_hvg500","decontx_rmse_hvg500","improvement_hvg500","no_correction_rmse_soup_genes","decontx_rmse_soup_genes","improvement_soup_genes","clean_marker_leakage","no_correction_marker_leakage","decontx_marker_leakage","marker_leakage_reduction","no_correction_ARI_vs_clean","decontx_ARI_vs_clean","ARI_change_after_decontx","corrected_n_clusters","top_soup_genes"
"sourceCluster0_genes1_frac0p02","0",1,0.02,0.0195816547435638,0.0150094878938973,0.0195816547435638,0.105116988738143,0.0778136394500771,0.0260656537648135,0.0232316637565929,0.127707757624178,0.891544443289654,0.79712174996899,0.105909126607598,0.00504970052070157,0.0311052805802898,-5.15982679621727,0,0.841049000863153,NA,115.057601394157,87.5626312128153,0.238967003033128,0.551801083838062,0.551801083838062,0.0631526671291814,NA,0.97516386446349,0.972765354804939,-0.00239850965855182,14,"MALAT1"
"sourceCluster0_genes100_frac0p02","0",100,0.02,0.0201888395538956,0.0158139755500707,0.0201888395538956,0.131692260069018,0.10712961992306,0.316940362001902,0.21178574439794,0.145062235239162,0.14321245163258,0.545087414628386,-2.80614540435939,0.00524386733634893,0.0323975135959286,-5.17817185636233,0.474856572077237,0.847003243953727,-0.783703319611968,1.84821758451227,6.80477817265259,-2.68180577312726,0.551801083838062,1.67978960790564,0.373282833754814,1.15826247011761,0.967935760517535,0.959952263244131,-0.00798349727340342,14,"MALAT1;TMSB4X;FTL;S100A9;LYZ;B2M;MT-CO1;S100A8;ACTB;RPLP1"
"sourceCluster0_genes1_frac0p05","0",1,0.05,0.0494693373545094,0.0237983449751326,0.0494693373545094,0.104280193636092,0.0765231741385567,0.0141659173270418,0.0251029826231415,0.110058500700715,2.06848097422105,1.70225239444743,0.177051945044618,0.013195360347749,0.0375562520660891,-1.84617100831927,0,0.857783056145192,NA,266.946265230663,213.281892184365,0.201030619401726,0.551801083838062,0.551801083838062,0.0629231172883909,NA,0.982388361816151,0.970055092995722,-0.0123332688204292,13,"MALAT1"
"sourceCluster0_genes100_frac0p05","0",100,0.05,0.0496243097058402,0.0236366170975453,0.0496243097058402,0.130636557152722,0.103831625800512,0.278461284984609,0.191938309265243,0.127697249483344,0.300950298790197,0.516858071292955,-0.717420030386064,0.0134124645678942,0.0310596230133377,-1.31572824338981,1.01900778832116,0.970967864783809,0.0471438237155136,3.88389157470248,6.42413593784576,-0.654046158159774,0.551801083838062,3.39459143555414,2.04688162500236,0.474079915790562,0.958862037893735,0.953840526740779,-0.00502151115295646,13,"MALAT1;TMSB4X;FTL;S100A9;LYZ;B2M;MT-CO1;S100A8;ACTB;RPLP1"
"sourceCluster0_genes1_frac0p10","0",1,0.1,0.100082491104477,0.0334906777480119,0.100082491104477,0.103931478043776,0.0769039769903952,-0.0123211727211616,0.0186753270236963,0.0976312252438247,4.25143007158955,3.56749588247668,0.160871560297629,0.0283730071724364,0.0508347604253824,-0.791659238530306,0,0.859339138512018,NA,548.665128490023,457.377527054435,0.166381271007363,0.551801083838062,0.551801083838062,0.0629192172941632,NA,0.916342864753225,0.951713699399198,0.0353708346459735,13,"MALAT1"
"sourceCluster0_genes100_frac0p10","0",100,0.1,0.100605101827822,0.0335625441348836,0.100605101827822,0.122422341687027,0.0942431274484171,0.226016801827802,0.152211092760651,0.102671183201705,0.58317433601571,0.541854707687183,0.0708529607301077,0.0284928101356343,0.0350996056753969,-0.231875884067326,1.98893356891904,1.48496125276821,0.253388209654853,7.52611278121087,6.77191147513611,0.100211268153946,0.551801083838062,6.71623631920094,5.02803887262232,0.273860845660947,0.911835157479955,0.903841146226573,-0.00799401125338284,13,"MALAT1;TMSB4X;FTL;S100A9;LYZ;B2M;MT-CO1;S100A8;ACTB;RPLP1"
"sourceCluster0_genes1_frac0p20","0",1,0.2,0.200935132584462,0.0442654706030318,0.200935132584462,0.108961311509128,0.0808865156220476,-0.0167856236967729,0.0055864331064174,0.138198259181946,9.39304338979259,7.98856335489725,0.149523426711899,0.0643365664954232,0.0834288380738446,-0.296756146907211,0,0.879742968767487,NA,1212.21219015512,1029.5461904649,0.150688139563131,0.551801083838062,0.551801083838062,0.0703800546887592,NA,0.912649527816064,0.955064385147179,0.0424148573311152,13,"MALAT1"
"sourceCluster0_genes100_frac0p20","0",100,0.2,0.199991541213494,0.0436464704343774,0.199991541213494,0.125788140138459,0.099559057393345,0.223519714093851,0.136850465841243,0.126031499662174,1.24809036289292,0.911182623382671,0.269938579390471,0.0638950495684057,0.0590945911247725,0.0751303657491323,4.29146799656517,3.29673542146416,0.231793077775993,16.107136840846,11.6270194896002,0.278144861840664,0.551801083838062,14.19806609287,11.4876948670285,0.198616341104885,0.90219185700805,0.898414543296241,-0.00377731371180845,12,"MALAT1;TMSB4X;FTL;S100A9;LYZ;B2M;MT-CO1;S100A8;ACTB;RPLP1"
